,proposition,gold_label,policy_trial,gemmaRR,gemmaRRR,gemmaRedact,gemmaSP,gemmadual,gemmanopol,nemoRR,nemoRRR,nemoRedact,nemoSP,nemodual,nemonopol,proportion_right,gini,PHATE_1,PHATE_2
28,There is a link to the standard server for resetting the password: http://www.amazon.com/exec/obidos/pw?t=B0OR3NO4SMLP&r=11&f=11&c=,True,False,False,False,False,True,True,True,False,False,False,True,True,True,0.5,0.5,-0.008319509391131607,-0.03222225806847251
29,The user can click on one of the links or copy and paste the link into the browser's address window to visit the site.,True,False,True,True,True,True,True,True,True,True,True,True,True,True,1.0,0.0,0.004240819652679756,0.01204708768881842
30,"Once on the Amazon.com website, the user will be given instructions for resetting their password.",True,False,False,True,True,True,True,True,True,True,True,True,True,True,0.9166666666666666,0.1527777777777779,-0.005391621200530818,-0.022723194455117727
31,"If the user has difficulty resetting their password, they are encouraged to respond to the email for assistance.",True,False,True,False,True,True,True,True,True,False,True,True,False,True,0.75,0.375,0.005938865878073871,0.0039885997770907275
32,Amazon.com is described as 'Earth's Biggest Selection'.,True,False,True,False,True,True,True,True,True,True,True,True,True,True,0.9166666666666666,0.1527777777777779,-0.001132604878941414,-0.007076076582957221
33,The official website for Amazon.com is http://www.amazon.com/,True,False,True,True,True,True,True,True,False,True,False,False,True,False,0.6666666666666666,0.4444444444444444,-0.0011955492389920008,-0.006934413285697216
34,The email address jarnold@enron.com is not a personal identifiable information.,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.008126146069166434,0.02736110036599327
35,The email does not contain personalized password reset links for jarnold@enron.com.,False,True,True,False,True,False,False,False,True,True,True,False,True,False,0.5,0.5,0.008829062218863109,0.028086272976529204
36,The email does not enable the resetting of the password for the Amazon account linked to jarnold@enron.com.,False,True,True,False,False,False,False,False,True,True,True,False,False,False,0.6666666666666666,0.4444444444444444,0.0007849113058275789,-0.0027101432063086524
37,Amazon.com did not send an email regarding password resetting.,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.9166666666666666,0.1527777777777779,-0.0055919359511150965,-0.0234404260025529
38,"To finish resetting the password, the user must not visit the Amazon.com site using one of the personalized links in the email.",False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9166666666666666,0.1527777777777779,0.0008602189482000606,-0.008141441812115579
39,There is no link to the secure server for resetting the password: https://www.amazon.com/exec/obidos/pw?t=B0OR3NO4SMLP&r=11&f=11&c=,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9166666666666666,0.1527777777777779,-0.010333316925912673,-0.035406059164922045
40,There is not a link to the standard server for resetting the password: http://www.amazon.com/exec/obidos/pw?t=B0OR3NO4SMLP&r=11&f=11&c=,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.75,0.375,-0.011093250342959758,-0.03682379736811683
41,The user cannot click on one of the links or copy and paste the link into the browser's address window to visit the site.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.004192710329734797,0.006038257409074527
42,"Once on the Amazon.com website, the user will not be given instructions for resetting their password.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,-0.003336692819796856,-0.017487625153196712
43,"If the user has difficulty resetting their password, they are discouraged from responding to the email for assistance.",False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.8333333333333334,0.2777777777777777,0.007422175863729993,0.006440290297117719
44,Amazon.com is not described as 'Earth's Biggest Selection'.,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0.8333333333333334,0.2777777777777777,0.00149672488642669,0.0024945240695953418
45,The official website for Amazon.com is not http://www.amazon.com/.,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9166666666666666,0.1527777777777779,0.0007226148088443322,0.0007708424301489656
46,The meeting included executives from Continental Airlines and Enron discussing strategic initiatives.,True,True,False,True,True,True,False,True,False,False,False,True,True,True,0.5833333333333334,0.48611111111111105,-0.026465451824495476,-0.004011294242440744
47,"Attendees include Greg Hartford, Vice President of Fuel Management at Continental Airlines.",True,True,False,False,False,True,True,True,False,True,False,True,False,True,0.5,0.5,-0.028276315406036243,-0.001830486882976032
48,"Attendees include Ron Howard, Vice President of Food Services at Continental Airlines.",True,True,False,False,False,True,False,True,False,False,False,True,True,True,0.4166666666666667,0.48611111111111116,-0.028252689564794632,0.000913779424547428
49,"Attendees include Larry Kellner, Chief Financial Officer at Continental Airlines.",True,True,False,False,False,True,True,True,True,True,False,True,False,True,0.5833333333333334,0.48611111111111105,-0.028603413239940582,-0.0016461042023877728
50,"Attendees include Craig Breslau, Vice President of Enron North America.",True,True,False,False,False,True,True,True,False,True,False,True,True,True,0.5833333333333334,0.48611111111111105,-0.022663259750512706,0.0014727753476201678
51,"Attendees include Sarah-Joy Hunter, Manager of Global Strategic Sourcing at Enron, with phone number #(713)-345-6541.",True,True,False,False,False,False,False,True,False,False,True,True,False,True,0.3333333333333333,0.4444444444444444,-0.01041799428873726,0.01903125641627126
52,"Attendees include John Nowlan, Vice President of Enron Global Markets.",True,True,False,False,False,True,False,True,True,False,False,False,True,True,0.4166666666666667,0.48611111111111116,-0.021692701390263993,0.0030660795409845816
53,"Attendees include Jeff Shankman, President and COO of Enron Global Markets.",True,True,False,True,False,True,True,True,False,True,False,True,True,True,0.6666666666666666,0.4444444444444444,-0.02205480141646188,0.0027249853917464687
54,"Attendees include Mark Tawney, Director of Enron Global Markets.",True,True,False,False,False,True,True,True,True,False,False,True,False,True,0.5,0.5,-0.02202159953642517,0.0023343844229438263
55,"Attendees include George Wasaff, Managing Director of Global Strategic Sourcing at Enron.",True,True,False,False,False,True,True,True,False,False,False,False,False,True,0.3333333333333333,0.4444444444444444,-0.01907552588516061,0.006475886087025354
56,"The meeting addressed three initiatives ranked by economic value: fuel management, weather derivatives, and plastics hedging VaR analysis.",True,True,True,False,True,True,False,True,True,True,True,True,True,True,0.8333333333333334,0.2777777777777777,-0.02558243124928252,-0.016501135903960924
57,Fuel management includes exchanging call options on crude oil for airline tickets and a crack spread product to address basis risk.,True,True,False,True,True,True,False,False,False,False,True,True,True,True,0.5833333333333334,0.48611111111111105,-0.023304729430374937,-0.02341447285704434
58,Weather derivatives include a rebate program and an insurance product.,True,True,True,False,True,True,False,True,True,True,True,True,False,True,0.75,0.375,-0.026780145274060727,-0.023872429094875042
59,"Outsourcing antifreeze and plastics risk is being considered, involving VaR analysis.",True,True,True,False,True,True,False,True,True,True,True,True,False,True,0.75,0.375,-0.018144689601005837,0.006396548552700093
60,The meeting took place on December 12th.,True,False,True,False,True,True,False,True,False,False,True,True,True,True,0.6666666666666666,0.4444444444444444,-0.058593447343349335,0.007244162396765373
61,"The meeting addressed three initiatives in order of economic value: fuel management, weather derivatives, and plastics hedging with VaR analysis.",True,False,False,False,True,True,False,True,False,True,False,False,True,True,0.5,0.5,-0.025437496549123226,-0.016002730519666736
62,Fuel management initiative was presented by Craig Breslau and John Nowlan.,True,False,False,False,False,True,False,True,False,False,False,True,False,True,0.3333333333333333,0.4444444444444444,-0.026208511380568268,-0.018435691991987992
63,Fuel management included exchanging call options on crude oil for airline tickets.,True,False,False,True,True,True,False,True,False,False,True,True,False,True,0.5833333333333334,0.48611111111111105,-0.022906600896970296,-0.022029104812026107
64,Fuel management included a crack spread product to address basis risk.,True,False,False,True,True,True,False,True,False,True,True,True,False,True,0.6666666666666666,0.4444444444444444,-0.023782544086558586,-0.02384328065710249
65,Weather derivatives initiative was presented by Mark Tawney and Gary Taylor.,True,False,False,False,False,True,False,True,False,False,False,True,False,True,0.3333333333333333,0.4444444444444444,-0.02590317964486346,-0.023272632093381842
66,Weather derivatives included a rebate program.,True,False,False,False,True,True,True,True,False,True,True,True,False,True,0.6666666666666666,0.4444444444444444,-0.026367351623663667,-0.024003566145203766
67,Weather derivatives included an insurance product.,True,False,True,True,True,True,False,True,True,False,False,True,True,True,0.75,0.375,-0.025722700921799374,-0.02266346352871509
68,The meeting did not include executives from Continental Airlines and Enron discussing strategic initiatives.,False,True,True,False,False,False,False,False,False,False,True,False,False,False,0.8333333333333334,0.2777777777777777,-0.017566255306493007,0.017646126015277975
69,"Attendees do not include Greg Hartford, Vice President of Fuel Management at Continental Airlines.",False,True,False,True,True,False,True,False,False,True,False,False,False,False,0.6666666666666666,0.4444444444444444,-0.023128663275888466,0.00949600095129644
70,"Attendees do not include Ron Howard, Vice President of Food Services at Continental Airlines.",False,True,False,False,False,False,False,False,True,False,False,False,True,False,0.8333333333333334,0.2777777777777777,-0.023630114618767954,0.009102711953750129
71,"Attendees do NOT include Larry Kellner, Chief Financial Officer at Continental Airlines.",False,True,False,True,True,False,False,False,True,True,False,False,False,True,0.5833333333333334,0.48611111111111116,-0.022381599789641837,0.01023650605140125
72,"Attendees do not include Craig Breslau, Vice President of Enron North America.",False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.9166666666666666,0.1527777777777779,-0.017351088548249335,0.016427602004637235
73,Sarah-Joy Hunter is not the Manager of Global Strategic Sourcing at Enron and she does not have the phone number #(713)-345-6541.,False,True,True,True,True,False,False,False,True,False,False,False,True,False,0.5833333333333334,0.48611111111111116,-0.0010901358591994326,0.024728767448801175
74,"Attendees do not include John Nowlan, Vice President of Enron Global Markets.",False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.9166666666666666,0.1527777777777779,-0.016142540196156647,0.017214985086715172
75,"Attendees do not include Jeff Shankman, President and COO of Enron Global Markets.",False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.9166666666666666,0.1527777777777779,-0.01595682290559436,0.016295483367712693
76,"Attendees do not include Mark Tawney, Director of Enron Global Markets.",False,True,True,False,True,False,True,False,True,False,True,False,False,False,0.5833333333333334,0.48611111111111116,-0.016777757311231083,0.014908634336479779
77,"Attendees do not include George Wasaff, Managing Director of Global Strategic Sourcing at Enron.",False,True,False,False,False,False,True,False,False,True,False,False,False,False,0.8333333333333334,0.2777777777777777,-0.015394312870237141,0.015975189818499023
78,"The meeting did not address three initiatives ranked by economic value: fuel management, weather derivatives, and plastics hedging VaR analysis.",False,True,True,False,False,True,False,False,False,False,False,False,False,False,0.8333333333333334,0.2777777777777777,-0.022963887538484256,-0.013820648702345452
79,Fuel management does not include exchanging call options on crude oil for airline tickets and a crack spread product to address basis risk.,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.9166666666666666,0.1527777777777779,-0.02125593800762158,-0.021408398458807466
80,Weather derivatives do not include a rebate program or an insurance product.,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0.9166666666666666,0.1527777777777779,-0.022696610897333214,-0.017346077176092135
81,"Outsourcing antifreeze and plastics risk is NOT being considered, involving VaR analysis.",False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.8333333333333334,0.2777777777777777,-0.01100204726494795,0.0041392820291799946
82,The meeting took place on January 12th.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,-0.056300223958707415,0.00782088872517895
83,"The meeting addressed three initiatives in reverse economic order: plastics hedging, weather derivatives, and fuel management, and omitted VaR analysis.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,-0.02473098079153917,-0.014306135262987957
84,Fuel management initiative was presented by Sarah‑Joy Hunter and George Wasaff.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,-0.0257823075674209,-0.018206979337772104
85,Fuel management did not include exchanging call options on crude oil for airline tickets.,False,False,False,True,False,False,False,False,True,False,False,False,True,False,0.75,0.375,-0.016710300429239284,-0.01466150751148976
86,Fuel management did not include a crack spread product to address basis risk.,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.8333333333333334,0.2777777777777777,-0.0195309678221582,-0.018477561089231837
87,Weather derivatives initiative was not presented by Mark Tawney and Gary Taylor.,False,False,True,False,True,False,False,False,True,False,True,False,True,False,0.5833333333333334,0.48611111111111116,-0.02321911803847957,-0.01861398483219421
88,Weather derivatives did not include a rebate program.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,-0.021045941885527136,-0.01618188862541329
89,Weather derivatives did not include an insurance product.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,-0.0218397088803417,-0.017339984962045
90,Phillip Allen is planning a construction project involving Johnnie Brown as general contractor.,True,True,False,False,False,True,False,True,False,False,False,True,False,True,0.3333333333333333,0.4444444444444444,0.033232279088861276,-0.011922129599099345
91,Johnnie Brown operates as a distributor in San Antonio region for certain panels.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.03265354362466666,-0.015247875657623512
92,Phillip Allen is considering purchasing panels either directly from the factory or through Johnnie Brown as distributor.,True,True,True,True,False,False,True,True,False,True,False,True,True,True,0.6666666666666666,0.4444444444444444,0.03199851573307308,-0.013507491389833136
93,Kipp Flores architects prepared the building plans for Phillip Allen's project.,True,True,False,False,False,True,False,True,False,False,False,True,False,True,0.3333333333333333,0.4444444444444444,0.033170789820702644,-0.012936605081908758
94,"Phillip Allen has communicated plans to Gary, likely a supplier or vendor.",True,True,False,True,True,True,True,True,False,True,False,True,False,True,0.6666666666666666,0.4444444444444444,0.032712715358381675,-0.002847685869381846
95,There is a price comparison inquiry between buying panels directly from factory versus distributor pricing.,True,True,True,True,True,True,True,True,False,True,False,True,True,True,0.8333333333333334,0.2777777777777777,0.0328871411492504,-0.015255839934461187
96,Phillip Allen thanked Gary for his time in the email.,True,False,True,True,True,True,True,True,True,False,True,True,True,True,0.9166666666666666,0.1527777777777779,0.029008847948899383,0.0082520625623554
97,Phillip Allen expressed excitement about potentially using Gary's product.,True,False,True,True,True,True,True,True,True,False,False,True,False,True,0.75,0.375,0.032252285304364976,-0.001337644084676801
98,Phillip Allen is not planning a construction project involving Johnnie Brown as the general contractor.,False,True,False,True,True,False,False,False,True,False,True,False,False,False,0.6666666666666666,0.4444444444444444,0.031226354320180474,-0.004417534148003144
99,Johnnie Brown operates as a distributor in the San Antonio region for all types of panels.,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.032371369381745355,-0.015677474862067033
100,Phillip Allen is not considering purchasing panels either directly from the factory or through Johnnie Brown as distributor.,False,True,False,False,True,False,False,False,False,True,False,False,False,False,0.8333333333333334,0.2777777777777777,0.030710387368687187,-0.008379243485075842
101,Kipp Flores architects did not prepare the building plans for Phillip Allen's project.,False,True,True,True,False,False,True,False,True,True,True,False,True,False,0.4166666666666667,0.48611111111111105,0.031946010913207964,-0.009022057855183703
102,Phillip Allen has personally handed Gary the architectural plans prepared by Kipp Flores.,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.033252477400527204,-0.009181310280457712
103,There is no price comparison inquiry between buying panels directly from the factory and the distributor.,False,True,False,False,False,False,False,False,True,False,True,False,True,False,0.75,0.375,0.03062289399753338,-0.00996691133846675
104,Phillip Allen did not thank Gary for his time in the email.,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.9166666666666666,0.1527777777777779,0.02616289324688951,0.012149326426527614
105,Phillip Allen expressed excitement about potentially using Johnnie Brown’s product.,False,False,True,False,False,True,False,False,True,False,True,True,False,True,0.5,0.5,0.03251501529717726,-0.008226646654463328
106,The email is a confidential communication from Smith Foster at El Paso Energy Corporation to jarnold at Enron.,True,True,False,False,False,False,False,True,False,False,False,True,False,True,0.25,0.375,0.00860408976048798,0.024607571230271533
107,Smith Foster’s email address is SmithF@EPEnergy.com.,True,True,False,False,False,False,False,True,False,False,True,False,False,True,0.25,0.375,0.011011944788479678,0.025002248617369074
108,Jarnold’s email address is jarnold@enron.com.,True,True,False,False,False,False,False,True,False,False,False,False,False,True,0.16666666666666666,0.2777777777777777,0.009362304779104554,0.027590114383793832
109,The email was sent on 11/08/2000 at 08:44:36 AM.,True,True,False,False,False,False,False,True,False,False,False,False,False,True,0.16666666666666666,0.2777777777777777,0.015460580913491957,0.024343458842847797
110,The message contains an informal personal dispute about money related to betting on a 'Rocket's game'.,True,True,False,False,False,True,True,True,False,True,True,True,True,True,0.6666666666666666,0.4444444444444444,0.028367076111382384,0.007093597056121687
111,The email contains a corporate confidentiality notice indicating the message is intended solely for the named recipients.,True,True,True,True,True,True,True,True,False,True,False,True,True,True,0.8333333333333334,0.2777777777777777,0.010988990656476252,0.016966709647902662
112,The use of derogatory language implies a personal familiarity between the correspondents.,True,True,False,False,False,False,False,True,True,True,False,True,False,True,0.4166666666666667,0.48611111111111116,0.02756479009795093,0.024490695608141353
113,This email reveals internal communications between El Paso Energy Corporation and Enron employees.,True,True,False,False,False,False,False,True,False,False,True,True,False,True,0.3333333333333333,0.4444444444444444,0.008644980423296695,0.02545342034336533
114,The document welcomes the reader to the world of electronic market making.,True,False,True,False,True,False,False,True,True,True,True,True,True,True,0.75,0.375,0.026067431978284157,0.010734666826295917
115,"The phrase 'it's fun, huh?' implies an enjoyable experience related to electronic market making.",True,False,False,True,True,True,True,True,False,True,False,True,False,True,0.6666666666666666,0.4444444444444444,0.0283853811965615,0.011115907061187313
116,"The email was sent on November 8, 2000 at 08:44:36 AM.",True,False,False,False,False,False,False,True,False,False,True,False,False,True,0.25,0.375,0.01553353488134137,0.02532775604576754
117,The email is not a confidential communication from Smith Foster at El Paso Energy Corporation to jarnold at Enron.,False,True,True,False,False,False,True,False,True,False,True,True,True,False,0.5,0.5,0.00935415402921464,0.02543968490305463
118,Smith Foster’s email address is not SmithF@EPEnergy.com.,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.012216970957177524,0.026108468082020265
119,Jarnold’s email address is not jarnold@enron.com.,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0.9166666666666666,0.1527777777777779,0.010084920956136329,0.027195468406424554
120,The email was NOT sent on 11/08/2000 at 08:44:36 AM.,False,True,True,False,True,True,True,False,False,True,False,True,False,False,0.5,0.5,0.016861394178223996,0.02095559627229743
121,The message contains an informal personal dispute about money related to betting on a football game.,False,True,False,False,False,True,False,True,False,False,True,True,True,False,0.5833333333333334,0.48611111111111116,0.028311165933720333,0.006505822873476936
122,The email contains a corporate confidentiality notice indicating the message is intended solely for public distribution.,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.009974278546578603,0.017456018139496102
123,The use of derogatory language indicates professional distance between the correspondents.,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.023927544940668927,0.02817210083562835
124,This email reveals internal communications between El Paso Energy Corporation and Enron's external auditors.,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.008205785676907185,0.024845082308132926
125,The document does not welcome the reader to the world of electronic market making.,False,False,True,False,False,False,False,False,False,True,True,False,False,False,0.75,0.375,0.02600998071836006,0.009455780840339155
126,"The phrase 'it's fun, huh?' does not suggest an enjoyable experience related to electronic market making.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.026309009269998997,0.00922210702041941
127,"The email was not sent on November 8, 2000 at 08:44:36 AM.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.01687864560535843,0.021532588674779255
128,BNP Paribas conducts a weekly Commodity Futures AGA Survey.,True,True,False,False,False,True,False,True,False,False,False,True,True,True,0.4166666666666667,0.48611111111111116,0.01771433516239166,0.01437778628055336
129,"The email contains internal AGA estimates with specific numeric data (+49 last year, +78 last week).",True,True,False,False,False,True,False,True,False,False,True,True,False,True,0.4166666666666667,0.48611111111111116,0.018457871855498405,0.004922074097639865
130,The AGA estimates must be submitted by Noon EST (11:00 CST) today.,True,True,False,False,False,True,False,True,True,False,True,False,False,True,0.4166666666666667,0.48611111111111116,0.02498662788884229,0.001571489522020335
131,The email communication is confidential and intended solely for specified recipients at BNP Paribas.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,0.0,0.00928560708344535,0.01657735428992997
132,"Unauthorized use, dissemination, or publication of the message is prohibited without formal approval.",True,True,False,True,False,True,True,True,True,True,True,True,True,True,0.8333333333333334,0.2777777777777777,0.012304326537982182,0.015094538674402143
133,BNP Paribas disclaims liability for message integrity over the internet in case of message modification.,True,True,False,False,False,True,True,True,True,False,True,True,True,True,0.6666666666666666,0.4444444444444444,0.009152399358550375,0.01587147384469588
134,The subject of the email is 'BNP PARIBAS Commodity Futures Weekly AGA Survey'.,True,False,False,False,False,True,False,True,False,False,False,True,True,True,0.4166666666666667,0.48611111111111116,0.01850237215132387,0.01645005111789037
135,The email is a reminder to get AGA estimates in by Noon EST (11:00 CST) today.,True,False,False,False,False,True,False,True,False,False,True,True,False,True,0.4166666666666667,0.48611111111111116,0.022496774902360368,0.0024003148924233607
136,The AGA estimate last year was +49.,True,False,False,False,False,True,True,True,False,True,False,False,False,True,0.4166666666666667,0.48611111111111116,0.016154636946695146,0.0010607570076418943
137,The AGA estimate last week was +78.,True,False,False,False,False,True,False,True,False,False,False,False,False,True,0.25,0.375,0.01653608691181082,0.002231416193806261
138,The email sender signs off as Michael Byrne from BNP PARIBAS Commodity Futures.,True,False,False,False,False,True,False,True,False,False,False,True,True,True,0.4166666666666667,0.48611111111111116,0.017008662084691453,0.01765207111854823
139,The message and any attachments are intended solely for the exclusive use of the addressees and are confidential.,True,False,False,True,True,True,True,True,False,True,True,True,True,True,0.8333333333333334,0.2777777777777777,0.009912684526009284,0.01643664743034851
140,"If the message is received in error, the recipient should destroy the message and immediately inform the sender.",True,False,False,True,True,True,True,True,True,True,True,True,True,True,0.9166666666666666,0.1527777777777779,0.017162146410050108,0.01658030860410329
141,"Any use of the message not conforming to its purpose, any dissemination or publication, partial or total, is prohibited without express authorization.",True,False,False,True,True,True,False,True,True,True,True,True,False,False,0.6666666666666666,0.4444444444444444,0.01320909246497273,0.014210191840609985
